,INFY,HINDUNILVR,TATACONSUM,WIPRO,ASIANPAINT,IRCTC,PFIZER,ITC,BURGERKING,JUBLFOOD,TCS,RELIANCE,BERGEPAINT,KOTAKBANK,IRFC,PIDILITIND,ADANIPORTS,NAUKRI,TATACHEM,TITAN,ADANIENT,ADANITRANS,ATGL,JSWSTEEL,CIPLA,DIXON,TNPETRO,CADILAHC,ALKYLAMINE,CAMS,DEEPAKNTR,INDIAMART,CDSL,LAURUSLABS,UPL,ADANIPOWER,TATAPOWER,TATASTEEL,TATAMOTORS
01-12-2020,2.1546886923732997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02-12-2020,2.441980518023073,0.0608044901777362,0.32546029384415104,0.27932960893854747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03-12-2020,1.1401894330475377,-0.4794200187090739,2.361911846754696,0.6424581005586593,2.336964209930683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-12-2020,1.8673968667235266,2.345650140318054,4.854007811047052,0.5013927576601671,3.497665865044561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05-12-2020,1.8673968667235266,2.345650140318054,4.854007811047052,0.5013927576601671,3.497665865044561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06-12-2020,1.8673968667235266,2.345650140318054,4.854007811047052,0.5013927576601671,3.497665865044561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-12-2020,2.7113166045697357,3.398258478460128,5.6072159196578015,-0.22956521739130434,4.955439241759796,0.4565396521390553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08-12-2020,1.516195727084769,3.576993583868011,4.658731634740562,1.203478260869565,3.504031687650304,-2.1000823998396543,-0.8431262824099981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09-12-2020,3.3945774740824377,5.050412465627864,5.170169239352799,0.07652173913043478,7.043429056443627,-3.9084248268489854,-0.8393956351426972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-12-2020,2.739123421851401,7.763519706691109,7.9133345731820715,-0.9391304347826087,7.336256896307823,-13.725140859185355,-2.8931169557918297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-12-2020,2.338812557737144,8.833638863428048,7.19732192672494,-1.6347826086956523,6.986136652991936,-15.361260197908083,-1.489460921469875,1.074766355140187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-12-2020,2.338812557737144,8.833638863428048,7.19732192672494,-1.6347826086956523,6.986136652991936,-15.361260197908083,-1.489460921469875,1.074766355140187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-12-2020,2.338812557737144,8.833638863428048,7.19732192672494,-1.6347826086956523,6.986136652991936,-15.361260197908083,-1.489460921469875,1.074766355140187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-12-2020,2.4575861108259893,8.65032080659945,7.308908313185792,-2.789565217391304,8.1935210072146,-12.166224973832483,-0.9457190822607723,0.8878504672897196,13.138257734551857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-12-2020,1.58218103435635,6.338221814848763,6.304630835038125,-1.7878260869565217,2.4000738276484546,-14.422941303105212,-1.949263197164708,-0.2102803738317757,35.74138509264694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16-12-2020,2.563162602460519,7.447296058661778,8.536358564255162,-0.271304347826087,4.6284083389229265,-15.432524924095643,-1.9455325498974072,0.16355140186915887,62.881487381571226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-12-2020,1.9868909189553792,6.115948670944088,7.364701506416218,0.0,4.3285960592241794,-15.382045743046122,-2.098489087856743,-0.4439252336448598,0.0,-0.39567797899863033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-12-2020,0.8521425411701133,6.940879926672777,6.667286591035894,0.0,5.402248141929152,-15.40283128818416,0.0,0.0,0.0,0.0,-0.5813832336577133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
